,doc_id,simscore
0,91635.0,0.8262993165561453
1,374340.0,0.9082930982699222
2,1132299.0,0.9214154427548916
3,70487596.0,0.8040950285432135
4,60799.0,0.8040214858629215
5,380655.0,0.9272224784808258
6,1213021.0,0.8995529565978435
7,623494.0,0.8660847158534378
8,1334665.0,0.6956768353787394
9,611025.0,0.8203870264019432
10,795465.0,0.9185350945875349
11,31239895.0,0.9410549276548348
12,139299795.0,0.9033052056561988
13,248715.0,0.9303304849916008
14,1239673.0,0.9233344822305914
15,113963352.0,0.9075706277592437
16,1878548.0,0.9423754042862678
17,314044.0,0.86992718117631
18,138192511.0,0.689055550106562
19,14898186.0,0.9455127616373507
20,1165503.0,0.9226309822947603
21,8919089.0,0.8441227783288352
22,110813550.0,0.7799668952599725
23,4354.0,0.8091966737658444
24,54865315.0,0.945286370775296
25,7926018.0,0.9228012739709681
26,174974.0,0.7500868441106757
27,1586918.0,0.7954982228442065
28,115718142.0,0.8459694529318983
29,1877956.0,0.9375678789701343
30,1548289.0,0.9041326687417495
31,155579055.0,0.812034603774816
32,36937.0,0.881080958940955
33,1035719.0,0.7744065754271644
34,856194.0,0.8993795759267951
35,938898.0,0.8937917027825704
36,919121.0,0.8186574098937306
37,685234.0,0.6004172460936826
38,1822024.0,0.9151071555007018
39,1418391.0,0.9604817800748352
40,1011356.0,0.893606521996086
41,491934.0,0.8420214092801427
42,1328814.0,0.8205860457890155
43,1767393.0,0.8067460716384977
44,800341.0,0.8277023381340811
45,1462242.0,0.9723184193938036
46,1401567.0,0.8758408491136963
47,399708.0,0.9200194607630685
48,1543623.0,0.9558860778835796
49,1006709.0,0.9183066484261214
